row_id,statement_id,firm_name,source_file,source_url,click_depth_manual,indicator_code,indicator_name,page_num,score,text_extraction_status,actions_present,planned_actions_present,target_present,target_measurable,indicator_action_link_clear,uses_generic_policy_reference_only,low_data_coverage_flag,review_priority,top_issue,evidence_snippet_1,evidence_snippet_2,confidence
jyske_2025_1_1_p3,jyske_2025,Jyske Bank,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/jyske_2025_pai.pdf,https://www.jyskebank.dk/pdf/yrlk4f0t/2024-erklaering-om-investeringsbeslutningers-vigtigste-negative-indvirkninger-paa-baeredygtighedsfaktorer.pdf,2,1.1,GHG emissions,3,4,high,True,True,True,True,True,False,True,medium,Data coverage limitations and estimation issues,Jyske Bank-koncernens politik for ansvarlige og bæredygtige investeringer ekskluderer selskaber med mere end 5% af omsætningen fra termisk kul og tjæresand fra vores investeringsunivers,Datadækning = 96%,high
jyske_2025_1_4_p4,jyske_2025,Jyske Bank,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/jyske_2025_pai.pdf,https://www.jyskebank.dk/pdf/yrlk4f0t/2024-erklaering-om-investeringsbeslutningers-vigtigste-negative-indvirkninger-paa-baeredygtighedsfaktorer.pdf,2,1.4,Exposure to fossil fuel companies,4,1,high,True,True,True,True,True,False,False,medium,Complex disclosure with multiple targets and progress metrics,Jyske Bank-koncernen har langsigtede mål i overensstemmelse med Parisaftalens mål om netto nuludledning i 2050 for 100% af vores AUM på vegne af kunder.,Vi har en målsætning om at reducere CO 2 -aftrykket for vores aktieinvesteringer med 75% i 2030 i forhold til 2019. Ultimo 2024 var vores aktieinvesteringers CO 2 -aftryk reduceret med 65%.,high
jyske_2025_1_10_p7,jyske_2025,Jyske Bank,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/jyske_2025_pai.pdf,https://www.jyskebank.dk/pdf/yrlk4f0t/2024-erklaering-om-investeringsbeslutningers-vigtigste-negative-indvirkninger-paa-baeredygtighedsfaktorer.pdf,2,1.10,UNGC/OECD violations,7,2,high,True,True,False,False,True,False,False,medium,Engagement program described but no explicit targets,I løbet af 2024 deltog Jyske Bank sammen med andre investorer i Sustainalytics normbaserede engagement-program på 137 sager vedrørende overtrædelse af internationale konventioner og normer,Jyske Banks politik for ansvarlig og bæredygtig investering fravælger investeringer i konventionsomfattede våben og tager stilling til normbrud,high
jyske_2025_1_11_p7,jyske_2025,Jyske Bank,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/jyske_2025_pai.pdf,https://www.jyskebank.dk/pdf/yrlk4f0t/2024-erklaering-om-investeringsbeslutningers-vigtigste-negative-indvirkninger-paa-baeredygtighedsfaktorer.pdf,2,1.11,Lack of compliance processes/mechanisms,7,2,high,True,True,False,False,True,False,False,medium,Ongoing engagement program related to compliance monitoring,I løbet af 2024 deltog Jyske Bank sammen med andre investorer i Sustainalytics normbaserede engagement-program på 137 engagementsager vedrørende overtrædelse af internationale konventioner og normer,"81 af disse sager vedrører virksomheder uden menneskerettigheder og arbejdstagerrettigheder, 23 sager vedrører miljøforhold, og 18 sager vedrører forretningsetik",high
jyske_2025_1_14_p8,jyske_2025,Jyske Bank,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/jyske_2025_pai.pdf,https://www.jyskebank.dk/pdf/yrlk4f0t/2024-erklaering-om-investeringsbeslutningers-vigtigste-negative-indvirkninger-paa-baeredygtighedsfaktorer.pdf,2,1.14,Controversial weapons,8,2,high,True,False,False,False,True,False,False,medium,Action described but no explicit target or measurable objective,"Jyske Bank ekskluderer konsekvent i vores egen porteføljeforvaltning selskaber med aktiviteter, der kan relateres til kontroversielle våben","Andel af investeringer i investeringsmodtagende virksomheder, der er involveret i fremstilling eller salg af kemiske våben og kontroversielle våben = 0,00%",high
jyske_2025_1_2_p14,jyske_2025,Jyske Bank,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/jyske_2025_pai.pdf,https://www.jyskebank.dk/pdf/yrlk4f0t/2024-erklaering-om-investeringsbeslutningers-vigtigste-negative-indvirkninger-paa-baeredygtighedsfaktorer.pdf,2,1.2,Carbon footprint,14,1,high,True,True,True,True,True,False,True,medium,Partial data coverage and pending targets for some asset classes,"For realkreditobligationer i investeringsforeningsafdelinger administreret i koncernen er CO2e-aftrykket reduceret med 51% siden 2019, og delmålet om 40% reduktion i 2030 er således allerede opfyldt.","Der er ikke fastsat reduktionsmål på mellemlangt sigte for denne del af AUM, da vi vurderer, at data og metode ikke er tilstrækkeligt udviklet til at kunne udarbejde en retvisende beregning og dermed levere en valid målsætning.",high
bankinvest_2025_1_1_p4,bankinvest_2025,BankInvest,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/bankinvest_2025_pai.pdf,https://bankinvest.dk/media/bgbom023/bankinvest-pai-statement-2024_final.pdf,1,1.1,GHG emissions,4,4,high,True,True,True,True,True,False,True,medium,Data quality and coverage limitations noted,"Oplysninger om udstedernes drivhusgasemissioner er også identificeret som en vigtig PAI-indikator, og vil anvendes på afdelinger med tilstrækkelig datakvalitet og -tilgængelighed.",BankInvest har sat en 55 % reduktionsmålsætning på CO2-aftrykket fra ultimo 2019-2030 for en andel af vores investeringer. Denne andel øges til 100% inden 2040.,high
bankinvest_2025_1_2_p5,bankinvest_2025,BankInvest,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/bankinvest_2025_pai.pdf,https://bankinvest.dk/media/bgbom023/bankinvest-pai-statement-2024_final.pdf,1,1.2,Carbon footprint,5,4,high,True,False,False,False,True,False,True,medium,Low data clarity and coverage with unclear quantitative targets,BankInvest har i 2024 lanceret nye retningslinjer for investeringer i fossile,"Ovenstående foranstaltninger er med til at reducere eksponering mod aktiviteter, som anses for at have betydelig negativ indvirkning på miljøet",medium
bankinvest_2025_1_4_p5,bankinvest_2025,BankInvest,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/bankinvest_2025_pai.pdf,https://bankinvest.dk/media/bgbom023/bankinvest-pai-statement-2024_final.pdf,1,1.4,Exposure to fossil fuel companies,5,4,high,True,False,False,False,True,False,False,medium,Unclear details on specific actions and impact,BankInvest har i 2024 lanceret nye retningslinjer for investeringer i fossile,"Ovenstående foranstaltninger er med til at reducere eksponering mod aktiviteter, som anses for at have betydelig negativ indvirkning på miljøet",medium
bankinvest_2025_1_10_p8,bankinvest_2025,BankInvest,/Users/Asjad 1 2/Desktop/Projekter/pai_statement_screener/data/raw/bankinvest_2025_pai.pdf,https://bankinvest.dk/media/bgbom023/bankinvest-pai-statement-2024_final.pdf,1,1.10,UNGC/OECD violations,8,4,high,True,True,False,False,True,False,False,medium,Actions described but no measurable target provided,"Hvis screeningen viser, at en virksomhed bryder med disse principper, vil BIAM enten frasælge investeringen, eller opstarte en dialog med henblik på at søge at påvirke virksomheden til at tage ansvar og ændre adfærd.",Alle investeringer gennemgår en normbaseret screening for brud på FN's Global Compact-principper og Organisationen for Økonomisk Samarbejde og Udviklings (OECD's) retningslinjer for multinationale virksomheder.,high
